Lat,Lon,,
18.161,117.997,,
18.136,118.329,,
18.111,118.661,,
18.084,118.992,,
18.057,119.323,,
18.029,119.655,,
17.999,119.986,,
17.969,120.316,,
17.938,120.647,,
17.905,120.977,,
17.872,121.308,,
17.838,121.638,,
17.803,121.967,,
17.767,122.297,,
17.729,122.626,,
17.691,122.955,,
17.652,123.284,,
17.612,123.612,,
17.571,123.941,,
17.529,124.269,,
17.486,124.596,,
17.442,124.924,,
17.397,125.251,,
17.352,125.578,,
17.305,125.904,,
17.257,126.231,,
17.208,126.557,,
17.159,126.882,,
17.108,127.208,,
17.057,127.533,,
17.004,127.857,,
16.951,128.182,,
16.896,128.506,,
16.841,128.829,,
16.785,129.153,,
16.728,129.476,,
16.670,129.798,,
16.611,130.120,,
16.551,130.442,,
16.490,130.764,,
16.428,131.085,,
16.365,131.405,,
16.302,131.726,,
16.237,132.046,,
16.172,132.365,,
16.106,132.684,,
16.038,133.003,,
15.970,133.321,,
15.901,133.639,,
15.831,133.956,,
15.760,134.273,,
15.689,134.590,,
15.616,134.906,,
15.543,135.221,,
15.468,135.537,,
15.393,135.851,,
15.317,136.166,,
15.240,136.479,,
15.162,136.793,,
15.083,137.106,,
15.004,137.418,,
15.307,82.500,,
15.387,82.813,,
15.466,83.126,,
15.545,83.441,,
15.622,83.755,,
15.698,84.070,,
15.774,84.386,,
15.849,84.702,,
15.922,85.019,,
15.995,85.336,,
16.067,85.653,,
16.139,85.971,,
16.209,86.289,,
16.278,86.608,,
16.347,86.927,,
16.414,87.247,,
16.481,87.567,,
16.546,87.887,,
16.611,88.208,,
16.675,88.529,,
16.738,88.851,,
16.800,89.173,,
16.861,89.495,,
16.921,89.818,,
16.981,90.141,,
17.039,90.464,,
17.096,90.788,,
17.153,91.113,,
17.208,91.437,,
17.263,91.762,,
17.317,92.087,,
17.369,92.413,,
17.421,92.739,,
17.472,93.065,,
17.522,93.392,,
17.571,93.719,,
17.619,94.046,,
17.666,94.374,,
17.712,94.702,,
17.757,95.030,,
17.801,95.358,,
17.844,95.687,,
17.886,96.016,,
17.927,96.345,,
17.968,96.675,,
18.007,97.004,,
18.045,97.335,,
18.082,97.665,,
18.119,97.995,,
18.154,98.326,,
18.188,98.657,,
18.222,98.988,,
18.254,99.320,,
18.286,99.651,,
18.316,99.983,,
18.346,100.315,,
18.374,100.647,,
18.402,100.980,,
18.428,101.312,,
18.454,101.645,,
18.478,101.978,,
18.502,102.311,,
18.524,102.644,,
18.546,102.978,,
18.566,103.311,,
18.586,103.645,,
18.604,103.978,,
18.622,104.312,,
18.638,104.646,,
18.654,104.980,,
18.668,105.315,,
18.682,105.649,,
18.695,105.983,,
18.706,106.318,,
18.717,106.652,,
18.726,106.987,,
18.735,107.321,,
18.742,107.656,,
18.749,107.991,,
18.754,108.326,,
18.759,108.661,,
18.762,108.995,,
18.765,109.330,,
18.766,109.665,,
18.767,110.000,,
18.766,110.335,,
18.765,110.670,,
18.762,111.005,,
18.759,111.339,,
18.754,111.674,,
18.749,112.009,,
18.742,112.344,,
18.735,112.679,,
18.726,113.013,,
18.717,113.348,,
18.706,113.682,,
18.695,114.017,,
18.682,114.351,,
18.668,114.685,,
18.654,115.020,,
18.638,115.354,,
18.622,115.688,,
18.604,116.022,,
18.586,116.355,,
18.566,116.689,,
18.546,117.022,,
18.524,117.356,,
18.502,117.689,,
18.478,118.022,,
18.454,118.355,,
18.428,118.688,,
18.402,119.020,,
18.374,119.353,,
18.346,119.685,,
18.316,120.017,,
18.286,120.349,,
18.254,120.680,,
18.222,121.012,,
18.188,121.343,,
18.154,121.674,,
18.119,122.005,,
18.082,122.335,,
18.045,122.665,,
18.007,122.996,,
17.968,123.325,,
17.927,123.655,,
17.886,123.984,,
17.844,124.313,,
17.801,124.642,,
17.757,124.970,,
17.712,125.298,,
17.666,125.626,,
17.619,125.954,,
17.571,126.281,,
17.522,126.608,,
17.472,126.935,,
17.421,127.261,,
17.369,127.587,,
17.317,127.913,,
17.263,128.238,,
17.208,128.563,,
17.153,128.887,,
17.096,129.212,,
17.039,129.536,,
16.981,129.859,,
16.921,130.182,,
16.861,130.505,,
16.800,130.827,,
16.738,131.149,,
16.675,131.471,,
16.611,131.792,,
16.546,132.113,,
16.481,132.433,,
16.414,132.753,,
16.347,133.073,,
16.278,133.392,,
16.209,133.711,,
16.139,134.029,,
16.067,134.347,,
15.995,134.664,,
15.922,134.981,,
15.849,135.298,,
15.774,135.614,,
15.698,135.930,,
15.622,136.245,,
15.545,136.559,,
15.466,136.874,,
15.387,137.187,,
15.307,137.500,,
15.611,82.416,,
15.692,82.731,,
15.771,83.045,,
15.850,83.360,,
15.927,83.676,,
16.004,83.992,,
16.080,84.308,,
16.155,84.625,,
16.229,84.943,,
16.302,85.260,,
16.375,85.579,,
16.446,85.897,,
16.517,86.217,,
16.586,86.536,,
16.655,86.856,,
16.723,87.177,,
16.790,87.498,,
16.856,87.819,,
16.921,88.141,,
16.985,88.463,,
17.048,88.786,,
17.111,89.108,,
17.172,89.432,,
17.232,89.756,,
17.292,90.080,,
17.351,90.404,,
17.408,90.729,,
17.465,91.054,,
17.521,91.380,,
17.576,91.706,,
17.629,92.032,,
17.682,92.359,,
17.734,92.686,,
17.785,93.013,,
17.835,93.340,,
17.885,93.668,,
17.933,93.997,,
17.980,94.325,,
18.026,94.654,,
18.071,94.983,,
18.116,95.313,,
18.159,95.642,,
18.201,95.972,,
18.243,96.302,,
18.283,96.633,,
18.323,96.964,,
18.361,97.295,,
18.399,97.626,,
18.435,97.958,,
18.471,98.289,,
18.505,98.621,,
18.539,98.954,,
18.571,99.286,,
18.603,99.619,,
18.633,99.952,,
18.663,100.285,,
18.692,100.618,,
18.719,100.951,,
18.746,101.285,,
18.771,101.619,,
18.796,101.953,,
18.820,102.287,,
18.842,102.621,,
18.864,102.955,,
18.885,103.290,,
18.904,103.625,,
18.923,103.959,,
18.940,104.294,,
18.957,104.629,,
18.973,104.965,,
18.987,105.300,,
19.001,105.635,,
19.013,105.971,,
19.025,106.306,,
19.036,106.642,,
19.045,106.977,,
19.054,107.313,,
19.061,107.649,,
19.068,107.985,,
19.073,108.320,,
19.078,108.656,,
19.082,108.992,,
19.084,109.328,,
19.086,109.664,,
19.086,110.000,,
19.086,110.336,,
19.084,110.672,,
19.082,111.008,,
19.078,111.344,,
19.073,111.680,,
19.068,112.015,,
19.061,112.351,,
19.054,112.687,,
19.045,113.023,,
19.036,113.358,,
19.025,113.694,,
19.013,114.029,,
19.001,114.365,,
18.987,114.700,,
18.973,115.035,,
18.957,115.371,,
18.940,115.706,,
18.923,116.041,,
18.904,116.375,,
18.885,116.710,,
18.864,117.045,,
18.842,117.379,,
18.820,117.713,,
18.796,118.047,,
18.771,118.381,,
18.746,118.715,,
18.719,119.049,,
18.692,119.382,,
18.663,119.715,,
18.633,120.048,,
18.603,120.381,,
18.571,120.714,,
18.539,121.046,,
18.505,121.379,,
18.471,121.711,,
18.435,122.042,,
18.399,122.374,,
18.361,122.705,,
18.323,123.036,,
18.283,123.367,,
18.243,123.698,,
18.201,124.028,,
18.159,124.358,,
18.116,124.687,,
18.071,125.017,,
18.026,125.346,,
17.980,125.675,,
17.933,126.003,,
17.885,126.332,,
17.835,126.660,,
17.785,126.987,,
17.734,127.314,,
17.682,127.641,,
17.629,127.968,,
17.576,128.294,,
17.521,128.620,,
17.465,128.946,,
17.408,129.271,,
17.351,129.596,,
17.292,129.920,,
17.232,130.244,,
17.172,130.568,,
17.111,130.892,,
17.048,131.214,,
16.985,131.537,,
16.921,131.859,,
16.856,132.181,,
16.790,132.502,,
16.723,132.823,,
16.655,133.144,,
16.586,133.464,,
16.517,133.783,,
16.446,134.103,,
16.375,134.421,,
16.302,134.740,,
16.229,135.057,,
16.155,135.375,,
16.080,135.692,,
16.004,136.008,,
15.927,136.324,,
15.850,136.640,,
15.771,136.955,,
15.692,137.269,,
15.611,137.584,,
15.916,82.333,,
15.996,82.648,,
16.076,82.963,,
16.155,83.279,,
16.233,83.596,,
16.310,83.913,,
16.386,84.230,,
16.462,84.548,,
16.536,84.866,,
16.610,85.185,,
16.682,85.504,,
16.754,85.824,,
16.825,86.144,,
16.895,86.464,,
16.964,86.785,,
